[00:02:02] 122.67,Coronet,Lúcio,140,0,0,244.50,0,0,0,0,0,181.14,0,0,0,0,0,26,0,0,200,200,Player Log
[00:02:03] Escort,123.39,False,6.67,0,MG Log
[00:02:03] 1,1,1,1,0,0,Information Log
[00:02:04] Escort,124.40,False,6.67,0,MG Log
[00:02:04] 1,1,1,1,0,0,Information Log
[00:02:05] Escort,125.41,False,6.67,0,MG Log
[00:02:05] 1,1,1,1,0,0,Information Log
[00:02:06] Escort,126.42,False,6.67,0,MG Log
[00:02:06] 1,1,1,1,0,0,Information Log
[00:02:06] 126.69,morning,Ramattra,244.50,0,0,140,0,0,0,0,0,0,0,0,0,0,0,38,0,0,310,450,Player Log
[00:02:07] Escort,127.42,False,6.67,0,MG Log
[00:02:07] 1,1,1,1,0,0,Information Log
[00:02:08] Escort,128.43,False,6.67,0,MG Log
[00:02:08] 1,1,1,1,0,0,Information Log
[00:02:09] Escort,129.44,False,6.67,0,MG Log
[00:02:09] 1,1,1,1,0,0,Information Log
[00:02:10] Escort,130.45,False,6.67,0,MG Log
[00:02:10] 1,1,1,1,0,0,Information Log
[00:02:10] 130.67,Coronet,Lúcio,140,0,0,244.50,0,0,0,0,0,181.14,0,0,0,0,0,28,0,0,200,200,Player Log
[00:02:11] Escort,131.46,False,6.67,0,MG Log
[00:02:11] 1,1,1,1,0,0,Information Log
[00:02:12] Escort,132.46,False,6.67,0,MG Log
[00:02:12] 1,1,1,1,0,0,Information Log
[00:02:13] Escort,133.47,False,6.67,0,MG Log
[00:02:13] 1,1,1,1,0,0,Information Log
[00:02:14] Escort,134.48,False,6.67,0,MG Log
[00:02:14] 1,1,1,1,0,0,Information Log
[00:02:14] 134.69,morning,Ramattra,244.50,0,0,140,0,0,0,0,0,0,0,0,0,0,0,40,0,0,310,450,Player Log
[00:02:15] Escort,135.49,False,6.67,0,MG Log
[00:02:15] 1,1,1,1,0,0,Information Log
[00:02:16] Escort,136.49,False,6.67,0,MG Log
[00:02:16] 1,1,1,1,0,0,Information Log
