[00:01:44] Lijiang Tower,BoomBoomPow,[DE] Supernova,0,8
[00:01:44] Geumeon,Coronet,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:02:57] 177.70,Coronet,Sombra,483.45,240,0,695.53,2,1,0,1,0,131.59,0,0,0,0,0,54,2.65,5.62,176.22,200,Player Log
[00:02:58] 178.49,HOUSE,Reaper,468.09,102.60,0,790.73,2,1,0,0,0,44.08,0,0,0,0,290.73,39,0,0,250,250,Player Log
[00:02:59] 179.29,RAT,Lúcio,590.12,147.04,0,393.29,1,2,2,1,0,623.98,0,0,0,0,0,58,0,0,192.87,200,Player Log
[00:03:00] 180.10,ENIGMA,Kiriko,124,120,0,690.37,2,0,0,0,0,1033.92,0,0,0,0,0,55,0,0,140.08,200,Player Log
[00:03:00] 180.90,Chappadoodle,Winston,726.65,242.77,770.00,985.20,1,4,1,0,0,0,0,0,0,0,0,59,0,11.72,405.73,550,Player Log
[00:03:01] 181.70,Bunny,Sombra,936.61,669.63,0,369.65,0,4,1,0,0,0,0,0,0,0,0,86,4.74,0.13,138.56,200,Player Log
[00:03:02] 182.49,mmmatt,Reaper,1252.43,593.55,0,857.01,0,6,3,0,0,151.29,1,0,0,0,857.01,78,0,0,250,250,Player Log
[00:03:02] 182.77,FinalBlow,mmmatt,HOUSE,Primary Fire
[00:03:03] 183.29,Muttnik,Lúcio,902.29,60,0,99.24,0,4,1,0,0,554.90,1,0,0,0,0,68,0,0,200,200,Player Log
[00:03:04] 184.10,LiamFox,Ana,806.78,0,0,405.78,1,5,0,0,0,1170.21,1,0,1,0,0,100,0,6.64,200,200,Player Log
[00:03:04] Control,184.88,0,29.44,False,[DE] Supernova,0,MG Log
[00:03:04] 0,1,0,0,Information Log
[00:03:04] 184.93,Geumeon,Winston,1028.75,190.56,1665.95,2105.97,1,2,0,0,0,0,0,0,0,0,0,75,0,10.53,139.59,550,Player Log
[00:03:05] 185.70,Coronet,Sombra,609.45,480,0,932.96,2,1,0,1,0,131.59,0,0,0,0,0,63,0,0,87.94,200,Player Log
[00:03:06] 186.29,FinalBlow,mmmatt,Geumeon,Primary Fire
[00:03:06] 186.49,HOUSE,Reaper,725.12,302.40,0,1111.71,3,1,0,0,0,89.07,0,0,0,0,361.71,50,0,0,0,250,Player Log
[00:03:06] 186.53,FinalBlow,Bunny,RAT,Primary Fire
[00:03:07] 187.29,RAT,Lúcio,705.62,287.04,0,660.88,2,2,2,1,0,790.70,0,0,0,0,0,70,0,6.61,0,200,Player Log
[00:03:08] 188.10,ENIGMA,Kiriko,124,160,0,801.78,2,0,0,0,0,1407.93,0,0,0,0,0,69,0,7.46,121.23,200,Player Log
[00:03:08] 188.90,Chappadoodle,Winston,948.41,281.46,1420.00,1411.54,1,5,1,0,0,0,0,0,0,0,0,72,2.79,3.71,374.69,550,Player Log
[00:03:09] 189.70,Bunny,Sombra,1090.73,669.63,0,385.01,0,7,2,0,0,0,0,0,0,0,0,99,0,0,200,200,Player Log
[00:03:10] 190.49,mmmatt,Reaper,1768.49,623.55,0,916.57,0,8,5,0,0,210.85,1,0,0,0,916.57,98,0,0,248.47,250,Player Log
[00:03:11] 191.29,Muttnik,Lúcio,1107.29,85,0,140.58,0,6,1,0,0,698.29,1,0,0,0,0,85,0,6.03,171.62,200,Player Log
[00:03:12] 192.10,LiamFox,Ana,806.78,375.00,0,405.78,1,6,0,0,0,1192.83,1,0,1,0,0,100,0,0,200,200,Player Log
[00:03:12] 192.43,FinalBlow,mmmatt,ENIGMA,Primary Fire
[00:03:12] Control,192.88,0,36.11,False,[DE] Supernova,0,MG Log
[00:03:12] 0,1,0,0,Information Log
[00:03:12] 192.93,Geumeon,Winston,1057.79,190.56,2034.64,2251.96,2,2,0,0,0,0,0,0,0,0,0,78,0,2.53,0,550,Player Log
[00:03:13] 193.70,Coronet,Sombra,742.24,480,0,1109.41,2,1,0,1,0,240.58,0,0,0,0,0,75,0,0,88.00,200,Player Log
[00:03:14] 194.49,HOUSE,Reaper,725.12,302.40,0,1111.71,3,1,0,0,0,89.07,0,0,0,0,361.71,52,0,0,250,250,Player Log
