[00:03:14] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:03:14] Geumeon,Apollo,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:04:41] 281.77,LiamFox,Ana,587.98,114.23,0,234.54,1,1,1,0,0,878.66,0,0,0,0,0,80,0,0,200,200,Player Log
[00:04:42] Hybrid,282.56,False,33.33,0,0,MG Log
[00:04:42] 0,1,0,0,Information Log
[00:04:42] 282.59,Geumeon,Winston,441.57,0,650,1809.46,1,1,0,0,0,0,0,0,0,0,0,44,0,0,549.16,550,Player Log
[00:04:43] 283.38,Apollo,Cassidy,1398.23,0,0,692.46,0,4,1,0,0,0,3,0,0,0,0,88,1.97,0,225,225,Player Log
[00:04:44] 284.17,HOUSE,Tracer,621.64,0,0,418.51,1,2,2,0,0,0,0,0,0,0,0,81,0,0,150,150,Player Log
[00:04:44] 284.98,RAT,Brigitte,811.66,0,411.50,565.93,0,3,1,0,1,1623.45,2,1,1,0,0,100,0,0,200,200,Player Log
[00:04:45] 285.77,ENIGMA,Ana,168.50,0,0,850.42,1,0,0,0,0,1698.29,0,0,0,0,0,92,0,0,200,200,Player Log
[00:04:46] 286.58,Chappadoodle,D.Va,773.92,338,652,1702.17,1,2,0,1,0,0,1,0,0,0,0,69,0,0,650,650,Player Log
[00:04:47] 287.38,Bunny,Sombra,891.57,260.77,0,614.10,1,2,1,0,0,0,1,0,0,0,0,81,1.24,0,200,200,Player Log
[00:04:48] 288.17,mmmatt,Tracer,1352.74,60.50,0,594.50,1,1,1,0,0,0,0,0,1,1,0,19,0,0,150,150,Player Log
[00:04:48] 288.98,Muttnik,Zenyatta,734.40,288,0,447.61,1,1,0,0,0,537.12,1,0,0,0,0,63,0,0,200,200,Player Log
[00:04:49] 289.77,LiamFox,Ana,587.98,114.23,0,234.54,1,1,1,0,0,878.66,0,0,0,0,0,81,0,0,200,200,Player Log
[00:04:50] Hybrid,290.56,False,33.33,0,0,MG Log
[00:04:50] 0,1,0,0,Information Log
[00:04:50] 290.59,Geumeon,Winston,518.15,0,650,2165.20,1,1,0,0,0,0,0,0,0,0,0,51,0,0,195.82,550,Player Log
[00:04:51] 291.38,Apollo,Cassidy,1398.23,0,0,692.46,0,4,1,0,0,0,3,0,0,0,0,90,0,0,225,225,Player Log
[00:04:52] 292.17,HOUSE,Tracer,621.64,0,0,418.51,1,2,2,0,0,0,0,0,0,0,0,84,0,0,150,150,Player Log
[00:04:52] 292.98,RAT,Brigitte,811.66,0,411.50,565.93,0,3,1,0,1,1686.85,2,1,1,0,0,100,0,0,200,200,Player Log
[00:04:53] 293.77,ENIGMA,Ana,168.50,0,0,850.42,1,0,0,0,0,1925.69,0,0,1,0,0,100,0,0,200,200,Player Log
[00:04:54] 294.58,Chappadoodle,D.Va,773.92,338,652,1702.17,1,2,0,1,0,0,1,0,0,0,0,72,0,0,650,650,Player Log
[00:04:55] 295.38,Bunny,Sombra,1274.79,260.77,0,690.67,1,2,1,0,0,0,1,0,1,0,0,100,0,0,200,200,Player Log
[00:04:56] 296.17,mmmatt,Tracer,1352.74,60.50,0,594.50,1,1,1,0,0,0,0,0,1,1,0,22,0,0,150,150,Player Log
[00:04:56] 296.98,Muttnik,Zenyatta,734.40,288,0,447.61,1,1,0,0,0,603.61,1,0,0,0,0,67,0,0,200,200,Player Log
[00:04:57] 297.77,LiamFox,Ana,587.98,114.23,0,234.54,1,1,1,0,0,878.66,0,0,0,0,0,83,0,0,200,200,Player Log
[00:04:58] Hybrid,298.56,False,33.33,0,0,MG Log
[00:04:58] 0,1,0,0,Information Log
[00:04:58] 298.59,Geumeon,Winston,518.15,0,650,2229.01,1,1,0,0,0,0,0,0,0,0,0,53,0,0,550,550,Player Log
[00:04:59] 299.38,Apollo,Cassidy,1398.23,0,0,692.46,0,4,1,0,0,0,3,0,0,0,0,92,0,0,225,225,Player Log
[00:05:00] 300.17,HOUSE,Tracer,621.64,0,0,418.51,1,2,2,0,0,0,0,0,0,0,0,87,0,0,150,150,Player Log
[00:05:00] 300.98,RAT,Brigitte,811.66,0,411.50,565.93,0,3,1,0,1,1743.84,2,1,1,0,0,100,0,0,200,200,Player Log
[00:05:01] 301.77,ENIGMA,Ana,168.50,0,0,850.42,1,0,0,0,0,1998.29,0,0,1,0,0,100,0,0,200,200,Player Log
[00:05:02] 302.58,Chappadoodle,D.Va,773.92,338,652,1702.17,1,2,0,1,0,0,1,0,0,0,0,74,0,0,650,650,Player Log
