[00:01:44] King's Row,BoomBoomPow,[DE] Supernova,0,8
[00:01:44] Geumeon,HOUSE,Coronet,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:02:58] 178.43,Coronet,Mei,421.50,35,14.85,1122.86,1,1,0,0,0,128.82,0,0,0,0,0,46,0,0,250,250,Player Log
[00:02:59] 179.23,RAT,Lúcio,305.71,115,0,342.62,1,1,1,0,0,1045.71,0,0,0,0,0,63,0,0,200,200,Player Log
[00:03:00] 180.03,ENIGMA,Baptiste,7.50,293.79,0,445.07,1,0,0,0,0,1273.52,0,0,0,0,0,65,0,0,200,200,Player Log
[00:03:00] 180.83,Chappadoodle,Winston,749.61,68.16,1093.79,1325.33,1,4,3,0,0,0,0,0,0,0,0,56,0,0,506.69,550,Player Log
[00:03:01] 181.63,Bunny,Hanzo,1715.19,584.63,0,542.71,0,5,1,0,0,0,0,0,1,0,0,100,0,0,187.50,200,Player Log
[00:03:02] 182.43,mmmatt,Tracer,673.25,26.40,0,131.50,0,3,0,0,0,0,0,0,0,0,0,79,0,0,150,150,Player Log
[00:03:03] 183.23,Muttnik,Kiriko,536,120,0,271,0,1,0,0,0,667.66,0,0,0,0,0,56,0,0,200,200,Player Log
[00:03:04] 184.03,LiamFox,Ana,474,150,0,145.32,0,4,1,0,0,1342.39,0,0,0,0,0,86,0,0,200,200,Player Log
[00:03:04] Hybrid,184.82,False,0,0,1,MG Log
[00:03:04] 0,1,0,1,Information Log
[00:03:04] 184.86,Geumeon,Ramattra,1119.22,180,934.34,1561.15,1,1,0,0,0,0,0,0,0,0,0,69,0,5.99,450,450,Player Log
[00:03:05] 185.63,HOUSE,Cassidy,780.48,470,0,789.36,1,0,0,0,0,0,0,0,0,0,0,56,0,0,167.06,225,Player Log
[00:03:06] 186.43,Coronet,Mei,421.50,35,14.85,1126.67,1,1,0,0,0,128.82,0,0,0,0,0,48,0,0,200,250,Player Log
[00:03:07] 187.23,RAT,Lúcio,427.71,115,0,342.62,1,1,1,0,0,1081.77,0,0,0,0,0,71,0,0,200,200,Player Log
[00:03:08] 188.03,ENIGMA,Baptiste,112.30,293.79,0,448.66,1,0,0,0,0,1468.35,0,0,0,0,0,77,0,0,200,200,Player Log
[00:03:08] 188.83,Chappadoodle,Winston,838.13,68.16,1093.79,1750.68,1,4,3,0,0,0,0,0,0,0,0,63,0,0,550,550,Player Log
[00:03:09] 189.63,Bunny,Hanzo,2023.19,584.63,0,562.71,0,5,1,0,0,0,0,0,1,0,0,100,6.69,7.76,200,200,Player Log
[00:03:10] 190.43,mmmatt,Tracer,796.15,26.40,0,206.50,0,3,0,0,0,0,0,0,0,0,0,92,0,0,127,150,Player Log
[00:03:11] 191.23,Muttnik,Kiriko,536,120,0,271,0,1,0,0,0,742.66,0,0,0,0,0,61,0,0,200,200,Player Log
[00:03:12] 192.03,LiamFox,Ana,474,150,0,145.32,0,4,1,0,0,1618.55,0,0,0,0,0,97,0,0,200,200,Player Log
[00:03:12] Hybrid,192.82,False,0,5.34,1,MG Log
[00:03:12] 0,1,0,1,Information Log
[00:03:12] 192.86,Geumeon,Ramattra,1119.22,180,934.34,1627.80,1,1,0,0,0,0,0,0,0,0,0,72,0,0,450,450,Player Log
[00:03:13] 193.63,HOUSE,Cassidy,850.48,470,0,978.28,1,0,0,0,0,0,0,0,0,0,0,62,2.26,2.33,118.25,225,Player Log
[00:03:14] 194.43,Coronet,Mei,421.50,35,14.85,1345.19,1,1,0,0,0,246.97,0,0,0,0,0,57,7.73,0,250,250,Player Log
[00:03:15] 195.23,RAT,Lúcio,427.71,115,0,342.62,1,1,1,0,0,1237.72,0,0,0,0,0,78,0,0,200,200,Player Log
[00:03:16] 196.03,ENIGMA,Baptiste,222.30,293.79,0,448.66,1,0,0,0,0,1554.93,0,0,0,0,0,86,0,0,195.05,200,Player Log
[00:03:16] 196.83,Chappadoodle,Winston,961.39,68.16,1093.79,1805.50,1,4,3,0,0,0,0,0,0,0,0,72,0,0,547.98,550,Player Log
[00:03:17] 197.63,Bunny,Hanzo,2140.45,709.63,0,571.71,0,5,1,0,0,0,0,0,1,0,0,100,11.49,0,200,200,Player Log
[00:03:18] 198.43,mmmatt,Tracer,820.90,33,0,206.50,0,3,0,0,0,0,0,0,0,0,0,97,0,0,150,150,Player Log
[00:03:19] 199.23,Muttnik,Kiriko,696,120,0,366,0,1,0,0,0,797.86,0,0,0,0,0,71,0,0,160.20,200,Player Log
[00:03:20] 200.03,LiamFox,Ana,474,150,0,145.32,0,4,1,0,0,1685.05,0,0,1,0,0,100,0,0,200,200,Player Log
[00:03:20] Hybrid,200.82,False,0,10.42,1,MG Log
[00:03:20] 0,1,0,1,Information Log
[00:03:20] 200.86,Geumeon,Ramattra,1159.72,180,1114.58,1756.50,1,1,0,0,0,0,0,0,0,0,0,75,0,4.95,659.52,675,Player Log
[00:03:21] 201.63,HOUSE,Cassidy,921.48,470,0,1154.81,1,0,0,0,0,0,0,0,0,0,0,68,5.23,9.67,138.30,225,Player Log
[00:03:22] 202.35,FinalBlow,Chappadoodle,ENIGMA,Primary Fire
[00:03:22] 202.41,FinalBlow,Chappadoodle,HOUSE,Primary Fire
[00:03:22] 202.43,Coronet,Mei,421.50,35,74.85,1522.47,1,1,0,0,0,246.97,0,0,0,0,0,59,0,8.63,230.67,250,Player Log
[00:03:22] 202.48,FinalBlow,HOUSE,LiamFox,Ability 2
[00:03:23] 203.23,RAT,Lúcio,459.21,115,0,500.54,1,1,1,0,0,1443.82,0,0,0,0,0,88,0,11.81,33.92,200,Player Log
[00:03:23] 203.76,FinalBlow,Chappadoodle,RAT,Primary Fire
[00:03:24] 204.03,ENIGMA,Baptiste,247.30,293.79,0,820.21,2,0,0,0,0,1965.48,0,0,1,0,0,100,12.45,0,0,200,Player Log
[00:03:24] 204.51,FinalBlow,Geumeon,Bunny,Ability 1
[00:03:24] 204.83,Chappadoodle,Winston,1191.70,76.80,1093.79,1848.68,1,7,6,0,0,0,2,0,0,0,0,87,2.62,8.42,550,550,Player Log
[00:03:25] 205.63,Bunny,Hanzo,2694.35,709.63,0,771.71,1,8,1,0,0,0,2,0,1,1,0,10,3.49,7.41,0,200,Player Log
[00:03:26] 206.43,mmmatt,Tracer,904.51,33,0,206.50,0,5,0,0,0,0,2,0,1,0,0,100,0,0,150,150,Player Log
[00:03:27] 207.23,Muttnik,Kiriko,856,160,0,366,0,2,0,0,0,837.66,1,0,0,0,0,78,0,0,200,200,Player Log
[00:03:28] 208.03,LiamFox,Ana,564.20,210,0,345.32,1,5,1,0,0,1714.55,1,0,1,1,0,0,8.45,3.05,0,200,Player Log
[00:03:28] Hybrid,208.82,False,0,13.83,1,MG Log
[00:03:28] 0,1,0,1,Information Log
[00:03:28] 208.86,Geumeon,Ramattra,1462.72,180,1114.58,2201.37,1,3,1,0,0,0,0,0,0,0,0,93,7.76,0,270.80,450,Player Log
[00:03:29] 209.63,HOUSE,Cassidy,930.48,470,0,1293.11,2,1,1,0,0,0,0,0,0,0,0,71,0,1.67,0,225,Player Log
[00:03:30] 210.43,Coronet,Mei,527.75,35,74.85,1767.07,1,2,0,0,0,269.13,0,0,0,0,0,70,0,0.63,47.25,250,Player Log
[00:03:31] 211.23,RAT,Lúcio,459.21,115,0,572.38,2,1,1,0,0,1443.82,0,0,0,0,0,90,0,3.81,0,200,Player Log
[00:03:32] 212.03,ENIGMA,Baptiste,247.30,293.79,0,820.21,2,0,0,0,0,2002.17,0,0,1,0,0,100,4.45,0,0,200,Player Log
[00:03:32] 212.83,Chappadoodle,Winston,1713.25,146.88,1093.79,2113.64,1,7,6,0,0,0,2,0,1,0,0,100,2.79,0.42,441.04,550,Player Log
[00:03:33] 213.63,Bunny,Hanzo,2694.35,709.63,0,771.71,1,8,1,0,0,0,2,0,1,1,0,13,0,0,0,200,Player Log
[00:03:34] 214.43,mmmatt,Tracer,1113.29,33,0,206.50,0,5,0,0,0,0,2,0,1,0,0,100,0,0,150,150,Player Log
[00:03:35] 215.23,Muttnik,Kiriko,856,160,0,366,0,2,0,0,0,1097.66,1,0,0,0,0,88,0,0,200,200,Player Log
[00:03:36] 216.03,LiamFox,Ana,564.20,210,0,345.32,1,5,1,0,0,1714.55,1,0,1,1,0,1,0,0,200,200,Player Log
[00:03:36] Hybrid,216.82,False,0,19.48,1,MG Log
[00:03:36] 0,1,0,1,Information Log
[00:03:36] 216.86,Geumeon,Ramattra,1608.93,180,1256.08,2520.35,1,3,1,0,0,0,0,0,1,0,0,100,0,4.98,39.45,450,Player Log
[00:03:37] 217.38,FinalBlow,mmmatt,Geumeon,Primary Fire
[00:03:37] 217.44,FinalBlow,Chappadoodle,Coronet,Primary Fire
[00:03:37] 217.63,HOUSE,Cassidy,930.48,470,0,1293.11,2,1,1,0,0,0,0,0,0,0,0,73,1.90,0,225,225,Player Log
[00:03:38] 218.43,Coronet,Mei,622.25,55,144.93,1846.31,2,2,0,0,0,320.82,0,0,0,0,0,78,4.59,5.59,0,250,Player Log
[00:03:39] 219.23,RAT,Lúcio,459.21,115,0,572.38,2,1,1,0,0,1443.82,0,0,0,0,0,92,0,10.67,200,200,Player Log
[00:03:40] 220.03,ENIGMA,Kiriko,247.30,293.79,0,820.21,2,0,0,0,0,2002.17,0,0,1,0,0,26,0,0,200,200,Player Log
[00:03:40] 220.83,Chappadoodle,Winston,1756.02,146.88,1113.79,2169.64,1,8,7,0,0,0,2,0,1,0,0,100,4.92,8.32,489.04,550,Player Log
[00:03:41] 221.63,Bunny,Hanzo,2694.35,709.63,0,771.71,1,8,1,0,0,0,2,0,1,1,0,15,0,0,200,200,Player Log
[00:03:42] 222.43,mmmatt,Tracer,1221.24,164.50,0,247,0,6,1,0,0,0,2,1,1,0,0,100,0,0,124.06,150,Player Log
[00:03:43] 223.23,Muttnik,Kiriko,856,200,0,370.50,0,2,0,0,0,1097.66,1,0,0,0,0,90,0,0,200,200,Player Log
[00:03:44] 224.03,LiamFox,Ana,564.20,210,0,345.32,1,5,1,0,0,1765.99,1,0,1,1,0,5,0,0,200,200,Player Log
[00:03:44] Hybrid,224.82,False,0,26.21,1,MG Log
[00:03:44] 0,1,0,1,Information Log
[00:03:44] 224.86,Geumeon,Ramattra,1644.93,180,1286.08,2559.80,2,3,1,0,0,0,0,0,1,0,0,100,0,0,0,450,Player Log
[00:03:45] 225.63,HOUSE,Cassidy,930.48,470,0,1293.11,2,1,1,0,0,0,0,0,0,0,0,75,0.74,0,225,225,Player Log
[00:03:46] 226.43,Coronet,Mei,622.25,55,144.93,1846.31,2,2,0,0,0,320.82,0,0,0,0,0,80,0,0,0,250,Player Log
[00:03:47] 227.23,RAT,Lúcio,459.21,115,0,572.38,2,1,1,0,0,1443.82,0,0,0,0,0,93,0,2.67,200,200,Player Log
[00:03:48] 228.03,ENIGMA,Kiriko,247.30,293.79,0,820.21,2,0,0,0,0,2002.17,0,0,1,0,0,28,0,0,200,200,Player Log
[00:03:48] 228.83,Chappadoodle,Winston,1756.02,146.88,1113.79,2169.64,1,8,7,0,0,0,2,0,1,0,0,100,0,0.32,550,550,Player Log
[00:03:49] 229.63,Bunny,Hanzo,2694.35,709.63,0,771.71,1,8,1,0,0,0,2,0,1,1,0,17,0,0,200,200,Player Log
[00:03:50] 230.43,mmmatt,Tracer,1221.24,164.50,0,247,0,6,1,0,0,0,2,1,1,0,0,100,0,0,150,150,Player Log
[00:03:51] 231.23,Muttnik,Kiriko,856,200,0,370.50,0,2,0,0,0,1097.66,1,0,0,0,0,92,0,0,200,200,Player Log
[00:03:52] 232.03,LiamFox,Ana,564.20,210,0,345.32,1,5,1,0,0,1779.99,1,0,1,1,0,7,0,0,200,200,Player Log
[00:03:52] Hybrid,232.82,False,0,33.06,1,MG Log
[00:03:52] 0,1,0,1,Information Log
[00:03:52] 232.86,Geumeon,Ramattra,1644.93,180,1286.08,2559.80,2,3,1,0,0,0,0,0,1,0,0,100,0,0,450,450,Player Log
[00:03:53] 233.63,HOUSE,Cassidy,1126.48,470,0,1293.11,2,1,1,0,0,0,0,0,0,0,0,85,0,0,225,225,Player Log
