[00:01:45] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:01:45] Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0,Geumeon,Apollo,HOUSE,RAT,ENIGMA,0
[00:03:10] 190.86,HOUSE,Tracer,759.11,0,0,482.42,1,1,0,0,0,0,1,0,0,0,0,83,0,0,0,150,Player Log
[00:03:11] 191.66,RAT,Brigitte,0,0,551.01,278.25,0,0,0,0,0,1067.51,0,0,0,0,0,46,0,0,63.87,200,Player Log
[00:03:12] 192.46,ENIGMA,Ana,312.51,0,0,67.32,0,0,0,0,0,1288.61,0,0,0,0,0,74,1.43,5.33,186.96,200,Player Log
[00:03:13] Hybrid,193.25,False,58.95,0,0,MG Log
[00:03:13] 0,1,0,0,Information Log
[00:03:13] 193.29,Chappadoodle,D.Va,1536.71,1126.20,1047.50,2292.06,0,1,1,0,0,0,0,0,1,0,0,100,0,0,623.40,650,Player Log
[00:03:14] 194.06,Bunny,Hanzo,586.93,737.20,0,552.37,0,1,0,0,0,0,1,0,0,0,0,57,2.96,3.82,177.80,200,Player Log
[00:03:14] 194.86,mmmatt,Tracer,543.22,153.02,0,98.28,0,2,0,0,0,0,2,0,0,0,0,69,0,0,150,150,Player Log
[00:03:15] 195.66,Muttnik,Zenyatta,445.20,240,0,342.99,0,1,1,0,0,950.60,1,0,0,0,0,68,0,0,200,200,Player Log
[00:03:16] 196.46,LiamFox,Ana,375.50,144.60,0,369.27,1,2,0,0,0,2170.29,2,0,1,1,0,0,0,0,0,200,Player Log
[00:03:17] 197.26,Geumeon,Winston,1134.81,0,1802.00,2423.29,1,1,0,0,0,0,1,0,0,0,0,78,0,0,0,550,Player Log
[00:03:18] 198.06,Apollo,Cassidy,1461.85,0,0,419.47,0,1,1,0,0,0,1,0,0,0,0,86,0,4.45,44.41,225,Player Log
[00:03:18] 198.86,HOUSE,Tracer,759.11,0,0,482.42,1,1,0,0,0,0,1,0,0,0,0,86,0,0,0,150,Player Log
[00:03:19] 199.66,RAT,Brigitte,73.50,0,682.97,460.24,0,0,0,0,0,1329.28,0,0,0,0,0,59,1.42,0,200,200,Player Log
[00:03:20] 200.46,ENIGMA,Ana,401.55,0,0,172.19,0,0,0,0,0,1592.30,0,0,0,0,0,92,12.14,9.33,200,200,Player Log
[00:03:21] 201.10,FinalBlow,mmmatt,Apollo,Primary Fire
[00:03:21] Hybrid,201.25,False,33.92,0,0,MG Log
[00:03:21] 0,1,0,0,Information Log
[00:03:21] 201.30,Chappadoodle,D.Va,1842.29,1210.16,1187.50,2497.95,0,2,1,0,0,0,0,0,1,0,0,100,3.68,0,463.59,650,Player Log
[00:03:22] 202.06,Bunny,Hanzo,851.15,737.20,0,552.37,0,2,0,0,0,0,1,0,0,0,0,75,7.91,9.46,177.80,200,Player Log
[00:03:22] 202.86,mmmatt,Tracer,830.43,153.02,0,133.28,0,3,1,0,0,0,2,0,0,0,0,95,0,0,115,150,Player Log
[00:03:23] 203.21,FinalBlow,Chappadoodle,ENIGMA,0
[00:03:23] 203.66,Muttnik,Zenyatta,616.14,240,0,342.99,0,2,1,0,0,950.60,1,0,0,0,0,77,0,0,200,200,Player Log
[00:03:24] 204.46,LiamFox,Ana,375.50,144.60,0,369.27,1,2,0,0,0,2170.29,2,0,1,1,0,2,0,0,200,200,Player Log
[00:03:25] 205.26,Geumeon,Winston,1134.81,0,1802.00,2423.29,1,1,0,0,0,0,1,0,0,0,0,80,4.22,0,550,550,Player Log
[00:03:26] 206.06,Apollo,Cassidy,1461.85,0,0,522.35,1,1,1,0,0,0,1,0,0,0,0,88,0,0,0,225,Player Log
[00:03:26] 206.86,HOUSE,Tracer,762.57,0,0,482.42,1,1,0,0,0,0,1,0,0,0,0,89,0,0,150,150,Player Log
[00:03:27] 207.66,RAT,Brigitte,108.50,0,999.65,694.39,0,0,0,0,0,1624.05,0,0,0,0,0,72,0,0,112.40,200,Player Log
[00:03:28] 208.46,ENIGMA,Ana,459.51,0,0,475.75,1,0,0,0,0,1594.70,0,0,0,0,0,95,4.14,1.32,0,200,Player Log
[00:03:29] Hybrid,209.25,False,33.33,0,0,MG Log
[00:03:29] 0,1,0,0,Information Log
