[00:01:12] Havana,DinnerTime,LeylineFirebird,0,8
[00:01:12] morning,Parallaxian,TOPSPEED,mobee01,Lex,0,Vulpie,Pocky,Dreamer,Raven,Snafucius,0
[00:02:17] 137.79,FinalBlow,Raven,Lex,Primary Fire
[00:02:18] 138.59,TOPSPEED,Mercy,0,0,0,0,0,0,0,0,0,257.95,0,0,0,0,0,30,0,0,200,200,Player Log
[00:02:19] 139.39,mobee01,Ana,470.44,0,0,139.57,0,1,1,0,0,650.10,0,0,0,0,0,58,0,0,200,200,Player Log
[00:02:20] 140.19,Lex,Ashe,489.50,0,0,200,1,2,0,0,0,0,0,0,0,0,0,29,0,0.63,0,200,Player Log
[00:02:20] 140.53,Resurrected,Lex
[00:02:20] 140.99,Vulpie,Wrecking Ball,202.07,0,0,920.16,1,0,0,0,0,0,0,0,0,0,0,31,0,0,700,700,Player Log
[00:02:21] 141.79,Pocky,Widowmaker,346.54,433.50,0,250,1,0,0,0,0,0,0,0,0,0,0,44,6.72,0,175,175,Player Log
[00:02:22] 142.59,Dreamer,Baptiste,250,550,0,192.62,0,0,0,0,0,446.84,0,0,0,0,0,40,0,0,145,200,Player Log
[00:02:23] 143.39,Raven,Hanzo,325,358.60,0,711.86,0,1,1,0,0,0,0,1,0,0,0,36,4.70,0,37.50,200,Player Log
[00:02:24] 144.19,Snafucius,Zenyatta,120,320.68,0,65,0,0,0,0,0,360.94,0,0,0,0,0,32,0,0,200,200,Player Log
[00:02:24] Escort,144.98,False,8.22,0,MG Log
[00:02:24] 0,1,0,0,Information Log
[00:02:25] 145.01,morning,Sigma,372.31,0,1688.78,557.50,0,0,0,0,0,0,0,0,0,0,0,34,11.09,0,594.68,594.68,Player Log
[00:02:25] 145.79,Parallaxian,Hanzo,1002.39,0,0,396.54,0,1,1,0,0,0,0,0,0,0,0,74,0.06,9.74,199.68,200,Player Log
[00:02:26] 146.59,TOPSPEED,Mercy,0,0,0,158.11,0,0,0,0,0,401.66,0,0,0,0,0,41,1.92,23.93,156.73,200,Player Log
[00:02:27] 147.39,mobee01,Ana,470.44,0,0,139.57,0,1,1,0,0,809.39,0,0,0,0,0,69,0,7.45,200,200,Player Log
[00:02:28] 148.19,Lex,Ashe,649.50,0,0,268.10,1,2,0,0,0,0,0,0,0,0,0,33,6.87,11.30,180,200,Player Log
[00:02:28] 148.99,Vulpie,Wrecking Ball,553.27,0,0,1380.57,1,0,0,0,0,0,0,0,0,0,0,54,0,10.96,631.91,700,Player Log
[00:02:29] 149.79,Pocky,Widowmaker,346.54,459.50,0,250,1,0,0,0,0,0,0,0,0,0,0,47,0,0,175,175,Player Log
[00:02:30] 150.59,Dreamer,Baptiste,406.25,550,0,247.62,0,0,0,0,0,647.10,0,0,0,0,0,56,12.43,0,200,200,Player Log
[00:02:31] 151.07,FinalBlow,Snafucius,morning,Primary Fire
[00:02:31] 151.39,Raven,Hanzo,406.25,488.60,0,711.86,0,1,1,0,0,0,0,1,0,0,0,42,11.78,8.91,200,200,Player Log
[00:02:32] 152.19,Snafucius,Zenyatta,386.75,320.68,0,65,0,1,1,0,0,401.26,1,0,0,0,0,43,0,0,200,200,Player Log
[00:02:32] Escort,152.98,False,9.20,0,MG Log
[00:02:32] 0,1,0,0,Information Log
[00:02:33] 153.01,morning,Sigma,427.31,0,1896.78,1155.50,1,0,0,0,0,0,0,0,0,0,0,39,3.09,0,0,550,Player Log
[00:02:33] 153.79,Parallaxian,Hanzo,1170.55,0,0,506.54,0,1,1,0,0,0,0,0,0,0,0,80,5.10,1.74,150.88,200,Player Log
[00:02:34] 154.59,TOPSPEED,Mercy,0,0,0,282.49,0,0,0,0,0,496.78,0,0,0,0,0,47,0,15.93,166.62,200,Player Log
[00:02:35] 155.39,mobee01,Ana,526.77,0,0,139.57,0,1,1,0,0,895.31,0,0,0,0,0,75,0,0,200,200,Player Log
[00:02:36] 156.19,Lex,Ashe,847.19,0,0,343.10,1,2,0,0,0,0,0,0,0,0,0,41,0,3.30,112.64,200,Player Log
[00:02:36] 156.99,Vulpie,Wrecking Ball,663.27,0,0,1622.35,1,0,0,0,0,0,0,0,0,0,0,63,0,2.96,425.17,700,Player Log
[00:02:37] 157.79,Pocky,Widowmaker,346.54,537.50,0,250,1,0,0,0,0,0,0,0,0,0,0,49,7.71,0,175,175,Player Log
[00:02:38] 158.59,Dreamer,Baptiste,649.38,550,0,322.62,0,1,0,0,0,667.50,0,0,0,0,0,67,4.43,0,178.52,200,Player Log
[00:02:39] 159.39,Raven,Hanzo,406.25,488.60,0,711.86,0,2,1,0,0,0,1,1,0,0,0,44,3.78,0.91,200,200,Player Log
[00:02:40] 160.19,Snafucius,Zenyatta,482.75,320.68,0,65,0,1,1,0,0,441.46,1,0,0,0,0,51,0,0,200,200,Player Log
[00:02:40] Escort,160.98,False,12.51,0,MG Log
[00:02:40] 0,1,0,0,Information Log
[00:02:41] 161.01,morning,Sigma,427.31,0,1896.78,1155.50,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,550,Player Log
[00:02:41] 161.79,Parallaxian,Hanzo,1478.36,0,0,574.06,0,1,1,0,0,0,0,0,0,0,0,98,10.34,6.03,200,200,Player Log
[00:02:42] 162.59,TOPSPEED,Mercy,0,0,0,396.12,0,0,0,0,0,742.78,0,0,0,0,0,62,0,7.93,112.81,200,Player Log
[00:02:43] 163.39,mobee01,Ana,531.77,0,0,139.57,0,1,1,0,0,982.45,0,0,0,0,0,81,9.64,0,200,200,Player Log
[00:02:44] 164.19,Lex,Ashe,974.87,0,0,468.15,1,2,0,0,0,0,0,0,0,0,0,48,2.93,8.49,195.95,200,Player Log
[00:02:44] 164.99,Vulpie,Wrecking Ball,868.48,0,0,1971.30,1,0,0,0,0,0,0,0,0,0,0,78,0,13.59,490.98,700,Player Log
[00:02:45] 165.79,Pocky,Widowmaker,346.54,537.50,0,383.29,1,0,0,0,0,0,0,0,0,0,0,52,0,0,155.55,175,Player Log
[00:02:46] 166.59,Dreamer,Baptiste,649.38,550,0,444.28,0,1,0,0,0,1008.12,0,0,0,0,0,76,0,0,200,200,Player Log
[00:02:47] 167.39,Raven,Hanzo,406.25,488.60,0,711.86,0,2,1,0,0,0,1,1,0,0,0,47,8.55,0,200,200,Player Log
[00:02:48] 168.19,Snafucius,Zenyatta,482.75,320.68,0,65,0,1,1,0,0,618.03,1,0,0,0,0,60,0,0,200,200,Player Log
[00:02:48] Escort,168.98,False,16.45,0,MG Log
[00:02:48] 0,1,0,0,Information Log
[00:02:49] 169.01,morning,Sigma,427.31,0,1896.78,1155.50,1,0,0,0,0,0,0,0,0,0,0,43,0,0,550,550,Player Log
[00:02:49] 169.79,Parallaxian,Hanzo,1692.93,0,0,574.06,0,1,1,0,0,0,0,0,1,0,0,100,2.34,0,200,200,Player Log
